WELL,DEPTH,FACIES,prediction,prediction_correct
15/9-F-1,3319.3,,,
15/9-F-1,3319.4,,,
15/9-F-1,3319.5,,,
15/9-F-1,3319.6,,,
15/9-F-1,3319.7,,,
15/9-F-1,3320.0,,,
15/9-F-1,3320.1,,,
15/9-F-1,3320.5,,,
15/9-F-1,3320.6,,,
15/9-F-1,3320.9,,,
15/9-F-1,3321.1,,,
15/9-F-1,3321.3,,,
15/9-F-1,3321.8,,,
15/9-F-1,3322.7,,,
15/9-F-1,3322.8,,,
15/9-F-1,3323.1,,,
15/9-F-1,3323.4,,,
15/9-F-1,3323.5,,,
15/9-F-1,3323.9,,,
15/9-F-1,3324.2,,,
15/9-F-1,3324.3,,,
15/9-F-1,3326.0,,,
15/9-F-1,3326.8,,,
15/9-F-1,3326.9,,,
15/9-F-1,3328.1,,,
15/9-F-1,3328.9,,,
15/9-F-1,3329.4,,,
15/9-F-1,3329.7,,,
15/9-F-1,3330.0,,,
15/9-F-1,3330.3,,,
15/9-F-1,3330.5,,,
15/9-F-1,3330.8,,,
15/9-F-1,3331.3,,,
15/9-F-1,3331.5,,,
15/9-F-1,3332.0,,,
15/9-F-1,3332.2,,,
15/9-F-1,3332.3,,,
15/9-F-1,3332.9,,,
15/9-F-1,3333.2,,,
15/9-F-1,3333.6,,,
15/9-F-1,3333.9,,,
15/9-F-1,3334.0,,,
15/9-F-1,3334.2,,,
15/9-F-1,3334.3,,,
15/9-F-1,3334.5,,,
15/9-F-1,3335.1,,,
15/9-F-1,3336.0,,,
15/9-F-1,3336.3,,,
15/9-F-1,3336.4,,,
15/9-F-1,3337.4,,,
15/9-F-1,3338.9,,,
15/9-F-1,3339.5,,,
15/9-F-1,3342.1,,,
15/9-F-1,3342.5,,,
15/9-F-1,3343.2,,,
15/9-F-1,3343.7,,,
15/9-F-1,3344.0,,,
15/9-F-1,3344.9,,,
15/9-F-1,3346.4,,,
15/9-F-1,3347.5,,,
15/9-F-1,3347.6,,,
15/9-F-1,3347.9,,,
15/9-F-1,3348.1,,,
15/9-F-1,3348.3,,,
15/9-F-1,3348.6,,,
15/9-F-1,3348.7,,,
15/9-F-1,3349.5,,,
15/9-F-1,3349.6,,,
15/9-F-1,3350.8,,,
15/9-F-1,3351.0,,,
15/9-F-1,3351.6,,,
15/9-F-1,3351.7,,,
15/9-F-1,3351.8,,,
15/9-F-1,3352.1,,,
15/9-F-1,3353.0,,,
15/9-F-1,3353.6,,,
15/9-F-1,3353.8,,,
15/9-F-1,3354.1,,,
15/9-F-1,3354.2,,,
15/9-F-1,3354.5,,,
15/9-F-1,3356.8,,,
15/9-F-1,3357.3,,,
15/9-F-1,3357.5,,,
15/9-F-1,3358.0,,,
15/9-F-1,3358.1,,,
15/9-F-1,3358.5,,,
15/9-F-1,3359.0,,,
15/9-F-1,3359.7,,,
15/9-F-1,3360.0,,,
15/9-F-1,3360.9,,,
15/9-F-1,3361.1,,,
15/9-F-1,3361.2,,,
15/9-F-1,3361.6,,,
15/9-F-1,3361.8,,,
15/9-F-1,3361.9,,,
15/9-F-1,3362.4,,,
15/9-F-1,3362.6,,,
15/9-F-1,3363.1,,,
15/9-F-1,3363.8,,,
15/9-F-1,3364.3,,,
15/9-F-1,3365.5,,,
15/9-F-1,3365.9,,,
15/9-F-1,3367.0,,,
15/9-F-1,3367.2,,,
15/9-F-1,3367.4,,,
15/9-F-1,3367.6,,,
15/9-F-1,3367.7,,,
15/9-F-1,3369.5,,,
15/9-F-1,3370.1,,,
15/9-F-1,3370.3,,,
15/9-F-1,3370.4,,,
15/9-F-1,3370.5,,,
15/9-F-1,3370.7,,,
15/9-F-1,3370.8,,,
15/9-F-1,3371.5,,,
15/9-F-1,3371.7,,,
15/9-F-1,3371.9,,,
15/9-F-1,3373.5,,,
15/9-F-1,3373.6,,,
15/9-F-1,3373.8,,,
15/9-F-1,3374.8,,,
15/9-F-1,3375.8,,,
15/9-F-1,3376.2,,,
15/9-F-1,3376.3,,,
15/9-F-1,3376.5,,,
15/9-F-1,3376.7,,,
15/9-F-1,3377.0,,,
15/9-F-1,3377.5,,,
15/9-F-1,3377.6,,,
15/9-F-1,3377.9,,,
15/9-F-1,3378.3,,,
15/9-F-1,3378.7,,,
15/9-F-1,3379.1,,,
15/9-F-1,3380.0,,,
15/9-F-1,3380.3,,,
15/9-F-1,3380.6,,,
15/9-F-1,3380.8,,,
15/9-F-1,3381.4,,,
15/9-F-1,3381.5,,,
15/9-F-1,3381.6,,,
15/9-F-1,3381.8,,,
15/9-F-1,3382.0,,,
15/9-F-1,3382.1,,,
15/9-F-1,3382.3,,,
15/9-F-1,3384.0,,,
15/9-F-1,3384.2,,,
15/9-F-1,3384.4,,,
15/9-F-1,3384.9,,,
15/9-F-1,3385.9,,,
15/9-F-1,3386.6,,,
15/9-F-1,3387.9,,,
15/9-F-1,3388.3,,,
15/9-F-1,3388.4,,,
15/9-F-1,3388.5,,,
15/9-F-1,3388.9,,,
15/9-F-1,3389.3,,,
15/9-F-1,3389.6,,,
15/9-F-1,3390.2,,,
15/9-F-1,3391.4,,,
15/9-F-1,3391.6,,,
15/9-F-1,3392.2,,,
15/9-F-1,3393.0,,,
15/9-F-1,3393.3,,,
15/9-F-1,3393.6,,,
15/9-F-1,3395.1,,,
15/9-F-1,3395.5,,,
15/9-F-1,3396.2,,,
15/9-F-1,3396.5,,,
15/9-F-1,3396.6,,,
15/9-F-1,3397.4,,,
15/9-F-1,3397.7,,,
15/9-F-1,3397.9,,,
15/9-F-1,3398.1,,,
15/9-F-1,3399.1,,,
15/9-F-1,3399.2,,,
15/9-F-1,3399.4,,,
15/9-F-1,3400.4,,,
15/9-F-1,3401.0,,,
15/9-F-1,3401.3,,,
15/9-F-1,3401.6,,,
15/9-F-1,3401.9,,,
15/9-F-1,3402.1,,,
15/9-F-1,3402.5,,,
15/9-F-1,3402.6,,,
15/9-F-1,3403.4,,,
15/9-F-1,3404.0,,,
15/9-F-1,3404.3,,,
15/9-F-1,3404.5,,,
15/9-F-1,3404.7,,,
15/9-F-1,3406.7,,,
15/9-F-1,3408.2,,,
15/9-F-1,3408.5,,,
15/9-F-1,3409.4,,,
15/9-F-1,3409.5,,,
15/9-F-1,3409.8,,,
15/9-F-1,3410.9,,,
15/9-F-1,3411.2,,,
15/9-F-1,3412.4,,,
15/9-F-1,3412.6,,,
15/9-F-1,3413.2,,,
15/9-F-1,3413.9,,,
15/9-F-1,3414.0,,,
15/9-F-1,3414.8,,,
15/9-F-1,3415.0,,,
15/9-F-1,3415.7,,,
15/9-F-1,3415.8,,,
15/9-F-1,3416.3,,,
15/9-F-1,3416.4,,,
15/9-F-1,3416.5,,,
15/9-F-1,3416.7,,,
15/9-F-1,3417.6,,,
15/9-F-1,3417.8,,,
15/9-F-1,3418.6,,,
15/9-F-1,3419.0,,,
15/9-F-1,3419.4,,,
15/9-F-1,3419.6,,,
15/9-F-1,3420.3,,,
15/9-F-1,3420.6,,,
15/9-F-1,3421.6,,,
15/9-F-1,3421.8,,,
15/9-F-1,3422.0,,,
15/9-F-1,3422.2,,,
15/9-F-1,3422.9,,,
15/9-F-1,3423.0,,,
15/9-F-1,3423.9,,,
15/9-F-1,3424.7,,,
15/9-F-1,3424.8,,,
15/9-F-1,3425.3,,,
15/9-F-1,3425.6,,,
15/9-F-1,3425.9,,,
15/9-F-1,3426.4,,,
15/9-F-1,3426.9,,,
15/9-F-1,3427.5,,,
15/9-F-1,3428.0,,,
15/9-F-1,3429.5,,,
15/9-F-1,3429.6,,,
15/9-F-1,3430.6,,,
15/9-F-1,3431.0,,,
15/9-F-1,3431.1,,,
15/9-F-1,3431.7,,,
15/9-F-1,3431.9,,,
15/9-F-1,3432.1,,,
15/9-F-1,3432.4,,,
15/9-F-1,3432.9,,,
15/9-F-1,3433.6,,,
15/9-F-1,3433.7,,,
15/9-F-1,3434.6,,,
15/9-F-1,3434.7,,,
15/9-F-1,3434.8,,,
15/9-F-1,3435.4,,,
15/9-F-1,3435.5,,,
15/9-F-1,3435.9,,,
15/9-F-1,3436.9,,,
15/9-F-1,3438.0,,,
15/9-F-1,3438.2,,,
15/9-F-1,3438.5,,,
15/9-F-1,3438.8,,,
15/9-F-1,3438.9,,,
15/9-F-1,3439.0,,,
15/9-F-1,3441.1,,,
15/9-F-1,3441.5,,,
15/9-F-1,3441.8,,,
15/9-F-1,3444.8,,,
15/9-F-1,3445.2,,,
15/9-F-1,3445.6,,,
15/9-F-1,3446.1,,,
15/9-F-1,3446.8,,,
15/9-F-1,3446.9,,,
15/9-F-1,3447.8,,,
15/9-F-1,3449.7,,,
15/9-F-1,3450.8,,,
15/9-F-1,3451.1,,,
15/9-F-1,3451.3,,,
15/9-F-1,3451.6,,,
15/9-F-1,3452.1,,,
15/9-F-1,3453.7,,,
15/9-F-1,3454.5,,,
15/9-F-1,3454.6,,,
15/9-F-1,3455.5,,,
15/9-F-1,3457.0,,,
15/9-F-1,3457.1,,,
15/9-F-1,3457.5,,,
15/9-F-1,3458.2,,,
15/9-F-1,3458.6,,,
15/9-F-1,3459.1,,,
15/9-F-1,3459.2,,,
15/9-F-1,3459.4,,,
15/9-F-1,3459.7,,,
15/9-F-1,3459.9,,,
15/9-F-1,3462.1,,,
15/9-F-1,3465.0,,,
15/9-F-1,3465.2,,,
15/9-F-1,3465.4,,,
15/9-F-1,3465.5,,,
15/9-F-1,3465.6,,,
15/9-F-1,3467.1,,,
15/9-F-1,3469.0,,,
15/9-F-1,3469.1,,,
15/9-F-1,3469.2,,,
15/9-F-1,3470.0,,,
15/9-F-1,3470.2,,,
15/9-F-1,3470.7,,,
15/9-F-1,3470.9,,,
15/9-F-1,3472.0,,,
15/9-F-1,3472.1,,,
15/9-F-1,3472.2,,,
15/9-F-1,3472.6,,,
15/9-F-1,3473.8,,,
15/9-F-1,3474.0,,,
15/9-F-1,3474.1,,,
15/9-F-1,3474.2,,,
15/9-F-1,3474.4,,,
15/9-F-1,3474.5,,,
15/9-F-1,3475.8,,,
15/9-F-1,3476.3,,,
15/9-F-1,3476.4,,,
15/9-F-1,3476.6,,,
15/9-F-1,3477.6,,,
15/9-F-1,3478.5,,,
15/9-F-1,3478.8,,,
15/9-F-1,3479.2,,,
15/9-F-1,3480.5,,,
15/9-F-1,3480.9,,,
15/9-F-1,3482.3,,,
15/9-F-1,3482.6,,,
15/9-F-1,3482.9,,,
15/9-F-1,3483.9,,,
15/9-F-1,3484.4,,,
15/9-F-1,3485.2,,,
15/9-F-1,3485.4,,,
15/9-F-1,3487.3,,,
15/9-F-1,3489.0,,,
15/9-F-1,3489.4,,,
15/9-F-1,3489.6,,,
15/9-F-1,3489.9,,,
15/9-F-1,3490.3,,,
15/9-F-1,3490.6,,,
15/9-F-1,3490.9,,,
15/9-F-1,3491.7,,,
15/9-F-1,3491.8,,,
15/9-F-1,3492.0,,,
15/9-F-1,3492.1,,,
15/9-F-1,3492.8,,,
15/9-F-1,3494.1,,,
15/9-F-1,3494.5,,,
15/9-F-1,3494.7,,,
15/9-F-1,3495.2,,,
15/9-F-1,3495.9,,,
15/9-F-1,3496.6,,,
15/9-F-1,3496.8,,,
15/9-F-1,3497.1,,,
15/9-F-1,3497.2,,,
15/9-F-1,3499.9,,,
15/9-F-1,3500.2,,,
15/9-F-1,3501.1,,,
